"filename", "language", "Properties", "JavaScript", "HTML", "JSON", "Vue", "Python", "Markdown", "Batch", "PowerShell", "XML", "CSS", "comment", "blank", "total"
"c:\Users\shiva\Documents\project\Node\isohel-client\.editorconfig", "Properties", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\shiva\Documents\project\Node\isohel-client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\shiva\Documents\project\Node\isohel-client\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\app.py", "Python", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\__init__.py", "Python", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 8, 3, 80
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_bashcomplete.py", "Python", 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 118, 46, 376
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_compat.py", "Python", 0, 0, 0, 0, 0, 547, 0, 0, 0, 0, 0, 99, 141, 787
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_termui_impl.py", "Python", 0, 0, 0, 0, 0, 493, 0, 0, 0, 0, 0, 77, 88, 658
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_textwrap.py", "Python", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_unicodefun.py", "Python", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 2, 20, 132
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_winconsole.py", "Python", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 24, 75, 371
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\core.py", "Python", 0, 0, 0, 0, 0, 1126, 0, 0, 0, 0, 0, 669, 236, 2031
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\decorators.py", "Python", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 116, 54, 334
"c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\exceptions.py", "Python", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 61, 52, 254
